Date,Power_kW,Holiday,Temperature (C),Power-1,Hour,Week day,HDH
2017-10-01 05:00:00,48.229068,0.0,11.33,43.0831745,5,6,0.0
2017-10-01 06:00:00,48.957984,0.0,11.29,48.229068,6,6,0.0
2017-10-01 07:00:00,91.4367875,0.0,11.49,48.957984,7,6,0.0
2017-10-01 08:00:00,115.9341335,0.0,12.04,91.4367875,8,6,0.0
2017-10-01 09:00:00,126.422352,0.0,11.95,115.9341335,9,6,0.0
2017-10-01 10:00:00,226.8467,0.0,12.34,126.422352,10,6,0.0
2017-10-01 11:00:00,214.74595150000002,0.0,12.88,226.8467,11,6,0.0
2017-10-01 12:00:00,209.71717400000003,0.0,13.76,214.74595150000002,12,6,0.0
2017-10-01 13:00:00,211.0161565,0.0,14.09,209.71717400000003,13,6,0.0
2017-10-01 14:00:00,218.527094,0.0,14.8,211.0161565,14,6,0.0
2017-10-01 15:00:00,220.22374649999998,0.0,13.76,218.527094,15,6,0.0
2017-10-01 16:00:00,215.0929295,0.0,13.99,220.22374649999998,16,6,0.0
2017-10-01 17:00:00,164.3821385,0.0,13.2,215.0929295,17,6,0.0
2017-10-01 18:00:00,142.32762250000005,0.0,12.88,164.3821385,18,6,0.0
2017-10-01 19:00:00,106.76565500000001,0.0,12.65,142.32762250000005,19,6,0.0
2017-10-01 20:00:00,87.71158100000002,0.0,12.44,106.76565500000001,20,6,0.0
2017-10-01 21:00:00,65.0948645,0.0,12.54,87.71158100000002,21,6,0.0
2017-10-01 22:00:00,56.681084999999996,0.0,12.4,65.0948645,22,6,0.0
2017-10-01 23:00:00,48.478158,0.0,12.41,56.681084999999996,23,6,0.0
2017-11-01 00:00:00,47.81610300000001,0.0,12.41,48.478158,0,2,0.0
2017-11-01 01:00:00,45.7930115,0.0,12.24,47.81610300000001,1,2,0.0
2017-11-01 02:00:00,44.5838325,0.0,12.23,45.7930115,2,2,0.0
2017-11-01 03:00:00,43.925929,0.0,12.19,44.5838325,3,2,0.0
2017-11-01 04:00:00,44.149673,0.0,12.29,43.925929,4,2,0.0
2017-11-01 05:00:00,47.6297225,0.0,12.2,44.149673,5,2,0.0
2017-11-01 06:00:00,49.487628,0.0,11.99,47.6297225,6,2,0.0
2017-11-01 07:00:00,90.1249135,0.0,11.92,49.487628,7,2,0.0
2017-11-01 08:00:00,108.90280349999999,0.0,11.73,90.1249135,8,2,0.0
2017-11-01 09:00:00,122.7176845,0.0,12.07,108.90280349999999,9,2,0.0
2017-11-01 10:00:00,220.07210750000002,0.0,13.09,122.7176845,10,2,0.0
2017-11-01 11:00:00,201.3737515,0.0,13.66,220.07210750000002,11,2,0.0
2017-11-01 12:00:00,205.864145,0.0,13.47,201.3737515,12,2,0.0
2017-11-01 13:00:00,212.58804550000002,0.0,16.73,205.864145,13,2,0.7300000000000004
2017-11-01 14:00:00,210.276971,0.0,16.9,212.58804550000002,14,2,0.8999999999999986
2017-11-01 15:00:00,215.977636,0.0,17.93,210.276971,15,2,1.9299999999999997
2017-11-01 16:00:00,229.87816899999999,0.0,18.97,215.977636,16,2,2.969999999999999
2017-11-01 17:00:00,162.654896,0.0,16.44,229.87816899999999,17,2,0.4400000000000013
2017-11-01 18:00:00,140.5560245,0.0,16.08,162.654896,18,2,0.0799999999999983
2017-11-01 19:00:00,106.58298899999998,0.0,15.81,140.5560245,19,2,0.0
2017-11-01 20:00:00,80.9929245,0.0,14.55,106.58298899999998,20,2,0.0
2017-11-01 21:00:00,58.87089200000001,0.0,15.18,80.9929245,21,2,0.0
2017-11-01 22:00:00,53.7831195,0.0,13.39,58.87089200000001,22,2,0.0
2017-11-01 23:00:00,51.376779,0.0,13.25,53.7831195,23,2,0.0
2017-12-01 00:00:00,48.60314,0.0,12.97,51.376779,0,4,0.0
2017-12-01 01:00:00,46.3947605,0.0,12.45,48.60314,1,4,0.0
2017-12-01 02:00:00,44.6725435,0.0,11.47,46.3947605,2,4,0.0
2017-12-01 03:00:00,44.9600895,0.0,11.14,44.6725435,3,4,0.0
2017-12-01 04:00:00,45.169631,0.0,10.49,44.9600895,4,4,0.0
2017-12-01 05:00:00,48.762208,0.0,9.28,45.169631,5,4,0.0
2017-12-01 06:00:00,51.419168,0.0,9.03,48.762208,6,4,0.0
2017-12-01 07:00:00,91.3957095,0.0,8.27,51.419168,7,4,0.0
2017-12-01 08:00:00,119.72030149999999,0.0,8.15,91.3957095,8,4,0.0
2017-12-01 09:00:00,141.54670349999995,0.0,8.55,119.72030149999999,9,4,0.0
2017-12-01 10:00:00,235.2993725,0.0,9.27,141.54670349999995,10,4,0.0
2017-12-01 11:00:00,207.00078200000002,0.0,10.46,235.2993725,11,4,0.0
2017-12-01 12:00:00,211.96990899999997,0.0,9.67,207.00078200000002,12,4,0.0
2017-12-01 13:00:00,216.87982250000002,0.0,10.45,211.96990899999997,13,4,0.0
2017-12-01 14:00:00,220.040862,0.0,10.7,216.87982250000002,14,4,0.0
2017-12-01 15:00:00,220.870288,0.0,12.58,220.040862,15,4,0.0
2017-12-01 16:00:00,210.71724849999998,0.0,13.92,220.870288,16,4,0.0
2017-12-01 17:00:00,152.5451195,0.0,12.99,210.71724849999998,17,4,0.0
2017-12-01 18:00:00,139.989454,0.0,12.72,152.5451195,18,4,0.0
2017-12-01 19:00:00,104.769002,0.0,12.22,139.989454,19,4,0.0
2017-12-01 20:00:00,85.321191,0.0,12.15,104.769002,20,4,0.0
2017-12-01 21:00:00,58.34102950000001,0.0,12.24,85.321191,21,4,0.0
2017-12-01 22:00:00,50.275539,0.0,12.09,58.34102950000001,22,4,0.0
2017-12-01 23:00:00,47.465847499999995,0.0,12.29,50.275539,23,4,0.0
2017-01-13 00:00:00,45.9280445,0.0,11.99,47.465847499999995,0,4,0.0
2017-01-13 01:00:00,44.019009999999994,0.0,11.79,45.9280445,1,4,0.0
2017-01-13 02:00:00,42.968899,0.0,11.75,44.019009999999994,2,4,0.0
2017-01-13 03:00:00,42.6688985,0.0,11.31,42.968899,3,4,0.0
2017-01-13 04:00:00,43.3912595,0.0,11.37,42.6688985,4,4,0.0
2017-01-13 05:00:00,46.7762615,0.0,11.63,43.3912595,5,4,0.0
2017-01-13 06:00:00,48.118944,0.0,11.34,46.7762615,6,4,0.0
2017-01-13 07:00:00,89.88041199999998,0.0,10.68,48.118944,7,4,0.0
2017-01-13 08:00:00,112.7335455,0.0,10.17,89.88041199999998,8,4,0.0
